Nombre,Ano_Coronacion,Edad
Philip II Augustus,1179,14
Louis VIII the Lion,1223,36
Louis IX the Saint,1226,12
Philip III the Bold,1270,26
Louis XIV the Sun King,1643,5
Louis Philippe I the Citizen King, 1830,56
Napoleon III,1852,44
Charles VI the Mad,1380,21
John II the Good,1350,31
Philip IV the Fair,1285,17
Louis X the Quarreller,1314,25
Charles V the Wise,1364, 26
Francis I the Father of Letters,1515,21
Henry III,1574,23
Carloman II,879,16
Robert I,922,57
Lothair,954,941
"Hugh ""Capet"",987,47"
Philip VI the Fortunate,1328,35
Louis XI the Prudent,1461,38
Francis II,1559,15
Charles X, 1589,66
Louis XVIII the Desired,1814,59
Philip V the Tall,1316,22
